zoo_name,city,state,address,latitude,longitude,num_animals,acres,hour_open,hour_close,annual_visitors,website,
The Phoenix Zoo,Phoenix,AZ,455 N Galvin Pkwy,33.451,-111.948,1400,125,9:00,17:00,800000,http://phoenixzoo.org/,
Point Defiance Zoo and Aquarium,Tacoma,WA,5400 N Pearl St,47.305,-122.5215,300,27,9:30,16:00,900000,http://www.pdza.org,
Potawatomi Zoo,South Bend,IN,500 S Greenlawn Ave,41.6695,-86.2183,400,23,10:00,17:00,200000,https://potawatomizoo.org,
Potter Park Zoo,Lansing,MI,1301 S Pennsylvania Ave,42.7179,-84.5277,500,102,9:00,16:00,167000,www.potterparkzoo.org,
Prospect Park Zoo,Brooklyn,NY,450 Flatbush Ave,40.6654,-73.9654,620,12,10:00,17:00,300000,https://prospectparkzoo.com/,
Pueblo Zoo,Pueblo,CO,3455 Nuckolls Ave,38.2613,-104.6554,420,30,9:00,16:00,90000,www.pueblozoo.org/,
Queens Zoo,Corona,NY,53-51 111th St,40.7444,-73.8497,75,18,10:00,17:00,,https://queenszoo.com/,
Racine Zoological Gardens,Racine,WI,200 Goold St,42.748,-87.7826,100,32,9:00,18:00,85000,http://www.racinezoo.org/,
Red River Zoo,Fargo,ND,4255 23rd Ave S,46.8446,-96.855,300,34,10:00,17:00,,http://redriverzoo.org/,
Reid Park Zoo,Tucson,AZ,3400 E Zoo Ct,32.2099,-110.9207,500,24,8:00,15:00,600000,https://reidparkzoo.org/,
Riverbanks Zoo,Columbia,SC,500 Wildlife Pkwy,34.0101,-81.0744,2000,170,9:00,17:00,1000000,http://www.riverbanks.org/,
Riverside Discovery Center,Scottsbluff,NE,1600 S Beltline Hwy W,41.8565,-103.683,650,23,10:00,16:00,,http://riversidediscoverycenter.org/,
Roger Williams Park Zoo,Providence,RI,1000 Elmwood Avenue,41.7904,-71.4148,100,40,10:00,16:00,650000,http://www.rwpzoo.org/,
Rolling Hills Zoo,Salina,KA,625 N Hedville Rd,38.8526,-97.7642,100,65,9:00,16:00,,http://www.rollinghillswildlife.com/,
Roosevelt Park Zoo,Minot,ND,1219 E Burdick Expy,48.2333,-101.2747,200,19,10:00,20:00,80000,http://www.rpzoo.com/,
Rosamond Gifford Zoo,Syracuse,NY,One Conservation Pl,43.0431,-76.1813,700,43,10:00,17:30,350000,http://www.rosamondgiffordzoo.org/,
Sacramento Zoo,Sacramento,CA,3930 W Land Park Dr,38.5396,-121.5038,500,14,9:00,16:00,500000,http://www.saczoo.org/,
Safari West,Santa Rosa,CA,3115 Porter Creek Rd,38.557,-122.6957,850,400,9:00,16:00,60000,http://www.safariwest.com,
Saint Louis Zoo,Saint Louis,MO,1 Government Dr,38.6339,-90.2913,15000,90,9:00,17:00,3000000,https://www.stlzoo.org/,
Salisbury Zoo,Salisbury,MD,755 S Park Dr,38.3606,-75.5826,120,12,9:00,16:30,300000,https://www.salisburyzoo.org/,
San Antonio Zoo,San Antonio,TX,3903 N St Mary's St,29.4621,-98.4737,3500,56,9:00,17:00,1000000,http://sazoo.org/,
San Diego Zoo,San Diego,CA,2920 Zoo Dr,32.7353,-117.149,3500,100,9:00,18:00,3500000,http://zoo.sandiegozoo.org/,
San Diego Zoo Safari Park,Escondido,CA,15500 San Pasqual Valley Road,33.0974,-116.9957,3000,1800,9:00,17:00,1300000,http://www.sdzsafaripark.org/,
San Francisco Zoo,San Francisco,CA,1 Zoo Rd,37.733,-122.503,1000,100,10:00,17:00,800000,http://www.sfzoo.org/,
Santa Ana Zoo,Santa Ana,CA,1801 E Chestnut Ave,33.7425,-117.8432,250,20,10:00,16:00,270000,http://www.santaanazoo.org/,
Santa Barbara Zoo,Santa Barbara,CA,500 Ninos Dr,34.4204,-119.6664,500,30,10:00,17:00,500000,http://www.sbzoo.org/,
Santa Fe College Teaching Zoo,Gainesville,FL,3000 NW 83 St,29.682,-82.4376,200,10,9:00,14:00,40000,http://www.sfcollege.edu/zoo/,
Scovill Zoo,Decatur,IL,71 S Country Club Rd,39.8256,-88.9141,400,,9:30,17:00,85000,http://www.decatur-parks.org/scovill-zoo/,
Sedgwick County Zoo,Wichita,KA,5555 Zoo Boulevard,37.7189,-97.4054,"2,500",247,8:30,17:00,600000,https://www.scz.org/,
Seneca Park Zoo,Rochester,NY,2222 St. Paul Street,43.2074,-77.6232,300,15,10:00,16:00,425000,http://senecaparkzoo.org/,
Sequoia Park Zoo,Eureka,CA,3414 W St,40.777,-124.1447,1700,5,10:00,17:00,,http://www.sequoiaparkzoo.net/,
Smithsonian National Zoo,"NW, Washington",DC,3001 Connecticut Ave.,38.9296,-77.0498,1500,163,8:00,19:00,2000000,https://nationalzoo.si.edu/,
Staten Island Zoo,Staten Island,NY,614 Broadway,40.6251,-74.1154,1400,8,10:00,16:45,,http://www.statenislandzoo.org/,
Stone Zoo,Stoneham,MA,149 Pond St,42.4625,-71.0926,120,26,10:00,17:00,,http://www.zoonewengland.org/stone-zoo,
Sunset Zoo,Manhattan,KA,2333 Oak St,39.177,-96.5957,330,48,9:30,17:00,100000,http://www.sunsetzoo.com/,
Toledo Zoo,Toledo,OH,2700 Broadway St,41.6179,-83.5803,5100,48,10:00,17:00,1000000,https://www.toledozoo.org/,
Topeka Zoo,Topeka,KA,636 SW Zoo Pkwy,39.0559,-95.7265,200,80,9:00,17:00,300000,http://topekazoo.org/,
Trevor Zoo,Millbrook,NY,282 Millbrook School Rd,41.8507,-73.6184,180,6,9:00,17:00,,http://www.millbrook.org/page/school-life/trevor-zoo,
Tulsa Zoo,Tulsa,OK,6421 E 36th St N,36.2134,-95.905,1500,85,9:00,17:00,600000,https://tulsazoo.org/,
Turtle Back Zoo,West Orange,NJ,560 Northfield Ave,40.7675,-74.2803,850,20,10:00,16:30,755000,http://turtlebackzoo.com,
Utah's Hogle Zoo,Salt Lake City,UT,2600 Sunnyside Ave S,40.7502,-111.8144,800,42,9:00,18:00,1200000,https://www.hoglezoo.org/,
Virginia Zoo,Norfolk,VA,3500 Granby St,36.8763,-76.2783,350,53,10:00,17:00,500000,http://virginiazoo.org/,
Wildlife Safari,Winston,OR,1790 Safari Rd,43.1409,-123.4275,600,600,9:00,17:00,150000,http://www.wildlifesafari.net/,
The Wilds,Cumberland,OH,14000 International Rd,39.82571,-81.747637,300,9000,9:00,16:00,1200000,https://thewilds.columbuszoo.org/,
Woodland Park Zoo,Seattle,WA,5500 Phinney Ave N,47.6682,-122.3508,1000,92,9:30,16:00,1000000,http://www.zoo.org/,
The Zoo at Chehaw,Albany,GA,105 Chehaw Park Rd,31.6216,-84.1366,230,100,8:00,20:00,,http://chehaw.org/zoo,
Zoo Atlanta,Atlanta,GA,800 Cherokee Ave SE,33.7341,-84.3723,1500,40,9:30,10:30,800000,http://www.zooatlanta.org/#,
Zoo Boise,Boise,ID,355 Julia Davis Dr,43.6079,-116.2032,300,89,10:00,17:00,350000,http://zooboise.org/,
Zoo Knoxville,Knoxville,TN,3500 Knoxville Zoo Dr,35.9995,-83.8884,800,53,9:30,10:30,400000,https://www.zooknoxville.org/,
Zoo Miami,Miami,FL,12400 SW 152nd St,25.6071,-80.3993,3000,750,10:00,11:00,830000,http://www.zoomiami.org/,
ZooAmerica North American Wildlife Park,Hershey,PA,201 Park Ave,40.288,-76.6515,200,11,10:00,11:00,550000,http://www.zooamerica.com/,
